"Kich ban","Loai mang","So ban ghi","So lan lap","Ti le thanh cong (%)","Thoi gian giai phong hang doi trung binh (s)","Thoi gian giai phong hang doi trung vi (s)","Do lech chuan giai phong hang doi (s)","Khoang tin cay 95% giai phong hang doi (s)","Thoi gian giai phong hang doi nho nhat (s)","Thoi gian giai phong hang doi lon nhat (s)","Do tre trigger trung binh (ms)","Do tre trigger trung vi (ms)","Do lech chuan trigger (ms)","Khoang tin cay 95% trigger (ms)","Do tre trigger lon nhat (ms)","So retry trung binh","So retry trung vi","Do lech chuan retry","Khoang tin cay 95% retry","So retry lon nhat","CPU trung binh (%)","CPU trung vi (%)","Do lech chuan CPU (%)","Khoang tin cay 95% CPU (%)","RAM trung binh (MB)","RAM trung vi (MB)","Do lech chuan RAM (MB)","Khoang tin cay 95% RAM (MB)"
"Dong bo ban ghi","4G","100","1","100","3.071","3.071","0","0","3.071","3.071","1037.812","1037.812","0","0","1037.812","0","0","0","0","0","4.22","4.22","0","0","64.29","64.29","0","0"
"Dong bo ban ghi","4G","1000","1","100","11.371","11.371","0","0","11.371","11.371","9330.367","9330.367","0","0","9330.367","0","0","0","0","0","0.19","0.19","0","0","63.98","63.98","0","0"
"Dong bo ban ghi","4G","5000","1","100","53.624","53.624","0","0","53.624","53.624","51582.134","51582.134","0","0","51582.134","0","0","0","0","0","4.29","4.29","0","0","66.74","66.74","0","0"
"Dong bo ban ghi","4G","10000","1","100","104.174","104.174","0","0","104.174","104.174","102121.066","102121.066","0","0","102121.066","0","0","0","0","0","0.03","0.03","0","0","125.6","125.6","0","0"
"Dong bo ban ghi","LAN","100","1","100","3.407","3.407","0","0","3.407","3.407","1346.47","1346.47","0","0","1346.47","0","0","0","0","0","0.04","0.04","0","0","48.8","48.8","0","0"
"Dong bo ban ghi","LAN","1000","1","100","10.782","10.782","0","0","10.782","10.782","8747.131","8747.131","0","0","8747.131","0","0","0","0","0","0.03","0.03","0","0","49.98","49.98","0","0"
"Dong bo ban ghi","LAN","5000","1","100","61.541","61.541","0","0","61.541","61.541","59467.506","59467.506","0","0","59467.506","0","0","0","0","0","0.03","0.03","0","0","55.75","55.75","0","0"
"Dong bo ban ghi","LAN","10000","1","100","99.106","99.106","0","0","99.106","99.106","97057.327","97057.327","0","0","97057.327","0","0","0","0","0","0.15","0.15","0","0","64.1","64.1","0","0"
"Dong bo ban ghi","VSAT","100","1","100","3.05","3.05","0","0","3.05","3.05","997.179","997.179","0","0","997.179","0","0","0","0","0","0.04","0.04","0","0","125.7","125.7","0","0"
"Dong bo ban ghi","VSAT","1000","1","100","11.531","11.531","0","0","11.531","11.531","9495.549","9495.549","0","0","9495.549","0","0","0","0","0","0.17","0.17","0","0","127","127","0","0"
"Dong bo ban ghi","VSAT","5000","1","100","42.421","42.421","0","0","42.421","42.421","40356.69","40356.69","0","0","40356.69","0","0","0","0","0","0.02","0.02","0","0","79.27","79.27","0","0"
"Dong bo ban ghi","VSAT","10000","1","100","80.738","80.738","0","0","80.738","80.738","38329.547","38329.547","0","0","76555.085","0","0","0","0","0","0.13","0.13","0","0","87.23","87.23","0","0"
